,,
Region,Avr2019,Avr2020
Российская Федерация ,47420,49345
Центральный федеральный округ,60396,62478
Белгородская область,34320,36440
Брянская область,29674,31287
Владимирская область,32364,33227
Воронежская область,33367,35239
Ивановская область,27286,27417
Калужская область,41054,42189
Костромская область,30649,30700
Курская область,32643,34725
Липецкая область,34741,35578
Московская область ,55225,55237
Орловская область,29594,30988
Рязанская область,33998,35376
Смоленская область,31362,32267
Тамбовская область,28627,29853
Тверская область,33259,34176
Тульская область,37498,39107
Ярославская область,35562,36815
г.Москва ,93866,95649
Северо-Западный федеральный округ,52640,55198
Республика Карелия,42752,45032
Республика Коми,53173,56067
Архангельская область,51743,54225
Ненецкий автономный округ,86523,91045
Архангельская область без авт. округа.,48811,51040
Вологодская область,39101,41436
Калининградская область,34203,35782
Ленинградская область,45709,47422
Мурманская область,62975,66454
Новгородская область,31735,31768
Псковская область,29320,30767
г.Санкт-Петербург,63235,66250
Южный федеральный округ  ,34277,35060
Республика Адыгея,29535,31001
Республика Калмыкия,28321,30751
Республика Крым,32857,32973
Краснодарский край,36137,36474
Астраханская область,35897,38191
Волгоградская область,32709,34552
Ростовская область,33517,34217
г.Севастополь,34749,34595
Северо-Кавказский федеральный округ,29201,30427
Республика Дагестан,27171,28693
Республика Ингушетия,27353,29622
Республика Кабардино-Балкария,27650,28923
 Республика Карачаево-Черкесия,27030,28950
Республика Северная  Осетия - Алания,28453,29519
Чеченская Республика,27747,28839
Ставропольский край,31761,32760
Приволжский федеральный округ,34383,35700
Республика Башкортостан,36423,37522
Республика Марий Эл,29954,30931
Республика Мордовия,28548,30371
Республика Татарстан,37462,38122
Удмуртская Республика,34040,35298
Чувашская Республика,29631,30796
Пермский край,38476,39690
Кировская область,29793,31724
Нижегородская область,35818,36089
Оренбургская область,32834,34459
Пензенская область,30788,32443
Самарская область,36232,37584
Саратовская область,28523,32438
Ульяновская область,30608,31695
Уральский федеральный округ,50709,52938
Курганская область,30369,32008
Свердловская область,40890,42023
Тюменская область,72096,76098
         в том числе:,#DIV/0!,#DIV/0!
Ханты-Мансийский  авт.ономный округ - Югра,74428,77110
Ямало-Ненецкий автономный округ,100347,109782
Тюменская область без авт. округов,48054,49049
Челябинская область,37203,37927
Сибирский федеральный округ,40815,42557
Республика Алтай,32858,34999
Республика Тыва,39219,41856
Республика Хакасия,40018,42413
Алтайский край,27859,28682
Красноярский край,49454,52444
Иркутская область,45818,48249
Кемеровская область,41682,42160
Новосибирская область,38284,39599
Омская область,35229,36356
Томская область,43723,46578
Дальневосточный федеральный округ,55996,57922
Республика Бурятия,38974,40158
Республика Саха (Якутия),72564,73234
Забайкальский край,43537,44947
Камчатский край,79106,80935
Приморский край,46129,48509
Хабаровский край,50311,51122
Амурская область,47228,50397
Магаданская область,93120,96085
Сахалинская область,86265,90043
Еврейская автономная область,42358,45491
Чукотский автономный округ,106834,116350
